"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
14225, 3.536465299000000e-02, -5.129800494000000e-02, 8.661935017755122e-02, -5.219317998985422e+00, 3.728487394152799e-04, -1.001308084462403e-03, -1.635437526922268e-06
14226, 3.546169425000000e-02, -5.156012272000000e-02, 8.483430421596393e-02, -5.229518261623063e+00, 3.613469836279728e-04, -9.899939334973406e-04, -1.578512180203288e-06
14227, 3.553631677000000e-02, -5.176831771000000e-02, 8.219007697031136e-02, -5.244628131598221e+00, 5.764873033615069e-04, -1.535912045541943e-03, -3.837589883476212e-06
14228, 3.559609285000000e-02, -5.191819553000000e-02, 7.969053873087151e-02, -5.258911207252163e+00, 5.845526776817351e-04, -1.332531012143436e-03, -3.067914184879939e-06
14229, 3.564028607000000e-02, -5.200532341000000e-02, 7.950674723176337e-02, -5.259961444389924e+00, 5.166766458025655e-04, -8.728606478579119e-04, -1.639740761309382e-06
14230, 3.567913081000000e-02, -5.205847779000000e-02, 8.115516965839616e-02, -5.250541887666308e+00, -1.535900040391371e-04, 1.898051963490846e-04, 5.392758727110463e-09
14231, 3.572341317000000e-02, -5.210805116000000e-02, 8.212422959202760e-02, -5.245004402331271e+00, -3.720325401426272e-04, 3.805802119453764e-04, -2.744931740427718e-07
14232, 3.577164155000000e-02, -5.215311402000000e-02, 8.266876668848037e-02, -5.241892761780113e+00, -3.873418380690217e-04, 3.307831818808867e-04, -3.748026725315901e-07
14233, 3.582375606000000e-02, -5.219374224000000e-02, 8.311223906965913e-02, -5.239358633887663e+00, -3.613523483419692e-04, 2.571532867571698e-04, -2.684268813032790e-07
14234, 3.587928928000000e-02, -5.222972060000000e-02, 8.341526643814612e-02, -5.237627048924879e+00, -2.994869051684393e-04, 1.774818046949215e-04, -1.655517744477682e-07
14235, 3.593742009000000e-02, -5.226110177000000e-02, 8.355017914983424e-02, -5.236856119143805e+00, -2.456315705766755e-04, 1.198376656551568e-04, -1.009785104927666e-07
14236, 3.599792547000000e-02, -5.228760031000000e-02, 8.357013687412293e-02, -5.236742075005012e+00, -2.220150087617269e-04, 8.628626337533588e-05, -7.761181069794683e-08
14237, 3.606054099000000e-02, -5.230895278000000e-02, 8.355039783422150e-02, -5.236854869518734e+00, -2.309950543411654e-04, 6.800030757133875e-05, -8.044490826176926e-08
14238, 3.612467528000000e-02, -5.232491291000000e-02, 8.362569595538584e-02, -5.236424594540653e+00, -2.779924039861698e-04, 5.624744180207947e-05, -1.125455403508373e-07
14239, 3.618990047000000e-02, -5.233512666000000e-02, 8.381378128689007e-02, -5.235349821217771e+00, -3.326598562572282e-04, 3.665580668430249e-05, -1.578524387371111e-07
14240, 3.625592025000000e-02, -5.233937480000000e-02, 8.411145442925598e-02, -5.233648831832824e+00, -3.545477458952273e-04, 6.516161654122130e-06, -1.730747078699825e-07
14241, 3.632202336000000e-02, -5.233755492000000e-02, 8.442665951417710e-02, -5.231847659918988e+00, -3.102229598856884e-04, -2.366856645798064e-05, -1.286945474441900e-07
14242, 3.638983983000000e-02, -5.232915736000000e-02, 8.468577473698397e-02, -5.230367001502948e+00, -2.238693067064222e-04, -3.975406763309852e-05, -6.456547776629801e-08
14243, 3.646128257000000e-02, -5.231282567000000e-02, 8.479124017335266e-02, -5.229764341866557e+00, 8.658879420825503e-05, 2.501579969739545e-05, -5.086312864322829e-09
14244, 3.653542879000000e-02, -5.228709621000000e-02, 8.459654917268075e-02, -5.230876861870396e+00, 2.903851430437033e-04, 1.206025926538876e-04, -1.361423342143314e-07
14245, 3.661101149000000e-02, -5.225064034000000e-02, 8.418278084130451e-02, -5.233241252335403e+00, 3.308737772037609e-04, 1.857933887752010e-04, -1.948820533760021e-07
14246, 3.668649238000000e-02, -5.220227046000000e-02, 8.363965137589331e-02, -5.236344849280609e+00, 3.037599220970281e-04, 2.239145313520246e-04, -2.055256857095560e-07
14247, 3.675990783000000e-02, -5.214088243000000e-02, 8.333482213720775e-02, -5.238086730644527e+00, 2.401483810173585e-04, 2.306679161197867e-04, -1.587298786121370e-07
14248, 3.682879029000000e-02, -5.206559012000000e-02, 8.322697865350095e-02, -5.238702979122852e+00, 2.009840877706621e-04, 2.545150719427494e-04, -1.391658153814977e-07
14249, 3.689018082000000e-02, -5.197591196000000e-02, 8.301183518057964e-02, -5.239932370396688e+00, 1.830632500895065e-04, 3.199398996528876e-04, -1.908380244687690e-07
